Number of edges in matching: 18
{('v_bv', 'b_bv'), ('o_tt', 'rh_end_tt_2'), ('g_gy1', 'rc_end_north'), ('b_end_east', 'g_gy2'), ('v_end_east', 'rs_end_north'), ('rh_end_tt_1', 'b_bw'), ('rd_end_south', 'b_end_west'), ('rd_end_north', 'rh_end_north'), ('o_y_tt_end_west', 'nature_end_west'), ('y_rh', 'rh_end_south'), ('y_gy1', 'rc_end_south'), ('b_tt_3', 'rt_end_north'), ('b_v', 'v_end_west'), ('y_rt', 'rt_end_south'), ('w_bw', 'g_w'), ('rs_end_south', 'y_gy2'), ('o_rt', 'o_w_1'), ('rh_end_tt_4', 'rh_end_tt_3')}
         1637436 function calls (1618545 primitive calls) in 26.982 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       34    0.000    0.000    0.001    0.000 core.py:2975(__array_finalize__)
       21    0.000    0.000    0.020    0.001 pyparsing.py:1518(setParseAction)
       67    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        2    0.000    0.000    0.015    0.007 nx_pylab.py:493(draw_networkx_edges)
      630    0.000    0.000    0.000    0.000 graph.py:406(__contains__)
      149    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(concatenate)
        1    0.000    0.000    0.090    0.090 Image.py:27(<module>)
      600    0.000    0.000    0.000    0.000 base.py:3142(is_int)
       98    0.000    0.000    0.001    0.000 inspect.py:2853(replace)
      112    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.130    0.130 series.py:1(<module>)
       56    0.000    0.000    0.000    0.000 pathlib.py:714(__str__)
        2    0.000    0.000    0.002    0.001 period.py:1(<module>)
        1    0.000    0.000    0.002    0.002 tokenize.py:1(<module>)
       25    0.000    0.000    0.020    0.001 pyparsing.py:1283(_trim_arity)
        1    0.000    0.000    0.015    0.015 pyparsing.py:6398(pyparsing_common)
      274    0.000    0.000    0.000    0.000 function_base.py:437(_add_docstring)
      337    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       18    0.000    0.000    0.003    0.000 artist.py:723(set_clip_path)
  186/144    0.000    0.000    0.000    0.000 _base.py:700(get_xaxis_transform)
       27    0.000    0.000    0.001    0.000 enum.py:124(__prepare__)
        1    0.000    0.000    0.000    0.000 frequencies.py:1(<module>)
       34    0.000    0.000    0.000    0.000 inspect.py:1800(_signature_bound_method)
        3    0.000    0.000    0.022    0.007 concat.py:1(<module>)
      225    0.000    0.000    0.000    0.000 base.py:5656(maybe_extract_name)
      134    0.000    0.000    0.000    0.000 artist.py:935(set_visible)
       37    0.000    0.000    0.000    0.000 pyparsing.py:3339(parseImpl)
        1    0.000    0.000    0.001    0.001 multi.py:154(MultiIndex)
       13    0.000    0.000    0.008    0.001 enum.py:439(_convert_)
       84    0.000    0.000    0.000    0.000 font_manager.py:832(set_style)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      143    0.000    0.000    0.000    0.000 inspect.py:726(getmodule)
       12    0.000    0.000    0.020    0.002 axis.py:815(set_tick_params)
        1    0.000    0.000    0.000    0.000 ImageFile.py:89(ImageFile)
      417    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
       78    0.000    0.000    0.015    0.000 decorators.py:416(py_random_state)
      100    0.000    0.000    0.000    0.000 figure.py:69(<listcomp>)
       41    0.000    0.000    0.001    0.000 pathlib.py:654(_parse_args)
        1    0.000    0.000    0.003    0.003 parsers.py:1(<module>)
        1    0.000    0.000    0.003    0.003 config_init.py:1(<module>)
      153    0.000    0.000    0.000    0.000 expr.py:172(<genexpr>)
       58    0.000    0.000    0.000    0.000 accessor.py:83(_create_delegator_property)
       82    0.000    0.000    0.001    0.000 __init__.py:1873(make_alias)
       40    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
      252    0.000    0.000    0.000    0.000 artist.py:177(convert_yunits)
       36    0.000    0.000    0.000    0.000 matching.py:388(scanBlossom)
        2    0.000    0.000    0.002    0.001 client.py:204(parse_headers)
       33    0.000    0.000    0.000    0.000 __init__.py:1392(__init__)
        4    0.000    0.000    0.001    0.000 feedparser.py:218(_parsegen)
        4    0.000    0.000    0.001    0.000 utils.py:1(<module>)
      306    0.000    0.000    0.000    0.000 rcsetup.py:1043(_convert_validator_spec)
      480    0.000    0.000    0.000    0.000 artist.py:1371(<genexpr>)
        1    0.000    0.000    0.016    0.016 subprocess.py:732(__init__)
        1    0.000    0.000    0.000    0.000 array.py:198(SparseArray)
        1    0.000    0.000    0.015    0.015 datetime.py:1(<module>)
       16    0.000    0.000    0.005    0.000 rcsetup.py:843(cycler)
        1    0.000    0.000    0.000    0.000 triinterpolate.py:287(CubicTriInterpolator)
       88    0.000    0.000    0.000    0.000 six.py:141(__init__)
       62    0.000    0.000    0.000    0.000 markers.py:252(set_fillstyle)
        2    0.000    0.000    0.021    0.011 categorical.py:1(<module>)
        1    0.000    0.000    0.000    0.000 colors.py:695(LinearSegmentedColormap)
      126    0.000    0.000    0.000    0.000 colors.py:704(__init__)
        1    0.000    0.000    0.001    0.001 base.py:194(Index)
      220    0.000    0.000    0.002    0.000 base.py:5559(ensure_index)
        2    0.000    0.000    0.000    0.000 nx_pylab.py:656(<listcomp>)
       83    0.000    0.000    0.001    0.000 pyparsing.py:2828(__init__)
        4    0.000    0.000    0.000    0.000 {pandas._libs.lib.clean_index_list}
        1    0.000    0.000    0.033    0.033 font_manager.py:1(<module>)
        2    0.000    0.000    0.000    0.000 figure.py:847(set_size_inches)
       77    0.000    0.000    0.001    0.000 series.py:972(_get_value)
       94    0.000    0.000    0.000    0.000 __init__.py:2118(__iter__)
       18    0.000    0.000    0.000    0.000 dtypes.py:853(construct_from_string)
        2    0.000    0.000    0.003    0.001 generic.py:10260(_add_numeric_operations)
       40    0.000    0.000    0.000    0.000 rcsetup.py:63(<dictcomp>)
      116    0.000    0.000    0.000    0.000 pyparsing.py:2545(__str__)
       49    0.000    0.000    0.002    0.000 font_manager.py:932(copy)
       98    0.000    0.000    0.000    0.000 artist.py:687(set_figure)
       95    0.000    0.000    0.003    0.000 transforms.py:1500(get_matrix)
       24    0.000    0.000    0.020    0.001 traceback.py:200(extract_stack)
       46    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
        1    0.000    0.000    0.005    0.005 fromnumeric.py:1(<module>)
      107    0.000    0.000    0.000    0.000 common.py:13(unpack_zerodim_and_defer)
       41    0.000    0.000    0.000    0.000 deprecation.py:365(<genexpr>)
        1    0.000    0.000    0.030    0.030 algorithms.py:1(<module>)
       48    0.000    0.000    0.001    0.000 shape_base.py:286(hstack)
        1    0.000    0.000    0.000    0.000 __init__.py:747(<dictcomp>)
       22    0.000    0.000    0.001    0.000 path.py:351(iter_segments)
        1    0.000    0.000    0.029    0.029 linalg.py:1(<module>)
      102    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        6    0.000    0.000    0.001    0.000 getlimits.py:35(__init__)
       60    0.000    0.000    0.000    0.000 config.py:729(wrap)
       27    0.000    0.000    0.000    0.000 functools.py:525(decorating_function)
       32    0.000    0.000    0.000    0.000 axis.py:1610(_set_formatter)
      389    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       30    0.000    0.000    0.000    0.000 {built-in method _locale.nl_langinfo}
      400    0.000    0.000    0.000    0.000 base.py:1720(is_integer)
      192    0.000    0.000    0.000    0.000 rcsetup.py:600(_deprecate_case_insensitive_join_cap)
        1    0.000    0.000    0.100    0.100 _axes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 lines.py:200(Line2D)
      621    0.000    0.000    0.000    0.000 base.py:3870(_values)
       90    0.000    0.000    0.000    0.000 rcsetup.py:617(validate_joinstyle)
      209    0.000    0.000    0.000    0.000 base.py:544(_reset_identity)
        4    0.000    0.000    0.002    0.000 _base.py:2512(handle_single_axis)
       84    0.000    0.000    0.000    0.000 font_manager.py:842(set_variant)
       55    0.000    0.000    0.000    0.000 inspect.py:2543(replace)
        1    0.000    0.000    0.000    0.000 _cm.py:1(<module>)
       35    0.000    0.000    0.000    0.000 transforms.py:1251(__init_subclass__)
        4    0.000    0.000    0.011    0.003 methods.py:171(_create_methods)
      200    0.000    0.000    0.008    0.000 series.py:863(_slice)
        1    0.000    0.000    0.102    0.102 multiarray.py:1(<module>)
       48    0.000    0.000    0.000    0.000 __init__.py:1268(is_math_text)
        1    0.000    0.000    0.010    0.010 scimath.py:1(<module>)
      571    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
  107/101    0.000    0.000    0.000    0.000 transforms.py:2320(__eq__)
        4    0.000    0.000    0.000    0.000 socket.py:219(__init__)
        2    0.000    0.000    0.009    0.004 construction.py:1(<module>)
       12    0.000    0.000    0.000    0.000 matching.py:520(expandBlossom)
       93    0.000    0.000    0.000    0.000 pyparsing.py:304(__init__)
       77    0.000    0.000    0.000    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
       16    0.000    0.000    0.000    0.000 cycler.py:191(_from_iter)
       10    0.000    0.000    0.000    0.000 axis.py:451(apply_tickdir)
      204    0.000    0.000    0.000    0.000 transforms.py:1691(<lambda>)
      284    0.000    0.000    0.000    0.000 typing.py:532(__hash__)
        1    0.000    0.000    0.000    0.000 rcsetup.py:1504(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
       13    0.000    0.000    0.000    0.000 stride_tricks.py:183(_broadcast_shape)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        2    0.000    0.000    0.004    0.002 polynomial.py:1(<module>)
        2    0.000    0.000    0.027    0.013 axis.py:1016(_update_ticks)
        3    0.000    0.000    0.008    0.003 missing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _color_data.py:1(<module>)
      267    0.000    0.000    0.000    0.000 common.py:188(<lambda>)
        1    0.000    0.000    0.005    0.005 socket.py:4(<module>)
      299    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
        2    0.000    0.000    0.003    0.002 function.py:1(<module>)
        6    0.000    0.000    0.000    0.000 numeric.py:2446(extend_all)
        1    0.000    0.000    0.010    0.010 melt.py:1(<module>)
       22    0.000    0.000    0.001    0.000 path.py:417(iter_bezier)
        1    0.000    0.000    0.000    0.000 backend_bases.py:121(RendererBase)
        2    0.000    0.000    0.005    0.002 pickle.py:1(<module>)
        1    0.000    0.000    0.001    0.001 grouper.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
      105    0.000    0.000    0.000    0.000 lines.py:67(_scale_dashes)
      208    0.000    0.000    0.000    0.000 cast.py:1595(construct_1d_ndarray_preserving_na)
      246    0.000    0.000    0.000    0.000 base.py:1994(holds_integer)
       33    0.000    0.000    0.000    0.000 warnings.py:458(__enter__)
       17    0.000    0.000    0.000    0.000 shape_base.py:612(column_stack)
    20/10    0.000    0.000    0.000    0.000 units.py:192(get_converter)
        1    0.000    0.000    0.014    0.014 ssl.py:4(<module>)
        1    0.000    0.000    0.048    0.048 uuid.py:1(<module>)
    29/21    0.000    0.000    0.002    0.000 _base.py:635(_unstale_viewLim)
        1    0.000    0.000    0.051    0.051 groupby.py:1(<module>)
       63    0.000    0.000    0.000    0.000 text.py:1137(set_verticalalignment)
        2    0.000    0.000    0.009    0.005 category.py:1(<module>)
       62    0.000    0.000    0.002    0.000 markers.py:215(__init__)
        1    0.000    0.000    0.004    0.004 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.003    0.003 numerictypes.py:1(<module>)
        2    0.000    0.000    1.193    0.597 parsers.py:422(_read)
       39    0.000    0.000    0.000    0.000 lines.py:1302(set_dash_joinstyle)
       90    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
      999    0.000    0.000    0.000    0.000 reportviews.py:701(<lambda>)
       72    0.000    0.000    0.015    0.000 linecache.py:15(getline)
        7    0.000    0.000    0.000    0.000 matching.py:490(<listcomp>)
      124    0.000    0.000    0.042    0.000 re.py:250(compile)
        4    0.000    0.000    0.000    0.000 ticker.py:860(_set_format)
        4    0.000    0.000    0.000    0.000 collections.py:904(set_sizes)
        1    0.000    0.000    0.079    0.079 request.py:1(<module>)
       77    0.000    0.000    0.000    0.000 base.py:2851(get_loc)
       28    0.000    0.000    0.000    0.000 locale.py:651(getpreferredencoding)
      251    0.000    0.000    0.000    0.000 cycler.py:227(<genexpr>)
      259    0.000    0.000    0.000    0.000 axis.py:582(formatter)
       64    0.000    0.000    0.000    0.000 inspect.py:2561(__str__)
        1    0.000    0.000    0.005    0.005 __init__.py:17(<module>)
        1    0.000    0.000    0.066    0.066 npyio.py:1(<module>)
      141    0.000    0.000    0.000    0.000 deprecation.py:112(deprecated)
        1    0.000    0.000    0.025    0.025 inspect.py:1(<module>)
      405    0.000    0.000    0.000    0.000 inspect.py:2849(return_annotation)
      218    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
      366    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 dviread.py:1(<module>)
       42    0.000    0.000    0.000    0.000 pyparsing.py:946(copy)
      107    0.000    0.000    0.000    0.000 rcsetup.py:65(__call__)
       17    0.000    0.000    0.000    0.000 typing.py:900(__init_subclass__)
        4    0.000    0.000    0.001    0.000 base.py:1164(_add_arithmetic_ops)
       16    0.000    0.000    0.001    0.000 ticker.py:2169(set_params)
        1    0.000    0.000    0.017    0.017 rolling.py:1(<module>)
      130    0.000    0.000    0.000    0.000 _decorators.py:332(doc)
       36    0.000    0.000    0.000    0.000 docstrings.py:7(_make_flex_doc)
        1    0.000    0.000    0.000    0.000 traceback.py:318(StackSummary)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f8e6d951a60}
        1    0.000    0.000    0.011    0.011 array.py:1(<module>)
       86    0.000    0.000    0.000    0.000 os.py:748(encode)
      115    0.000    0.000    0.000    0.000 {built-in method math.cos}
       16    0.000    0.000    0.003    0.000 scale.py:106(set_default_locators_and_formatters)
        1    0.000    0.000    0.000    0.000 stringprep.py:2(<module>)
      219    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
       24    0.000    0.000    0.020    0.001 pyparsing.py:1291(extract_stack)
      630    0.000    0.000    0.000    0.000 graph.py:1439(is_multigraph)
        1    0.000    0.000    0.005    0.005 tz.py:2(<module>)
        7    0.000    0.000    0.000    0.000 _decorators.py:85(deprecate_kwarg)
       39    0.000    0.000    0.000    0.000 linalg.py:135(_commonType)
      115    0.000    0.000    0.000    0.000 {built-in method math.radians}
       34    0.000    0.000    0.000    0.000 contextlib.py:211(contextmanager)
        1    0.000    0.000    0.001    0.001 mlab.py:1(<module>)
        1    0.000    0.000    0.002    0.002 polynomial.py:429(polyfit)
        1    0.000    0.000    0.000    0.000 tz.py:1253(tzical)
        1    0.000    0.000    0.000    0.000 axes3d.py:44(Axes3D)
       86    0.000    0.000    0.000    0.000 artist.py:354(set_transform)
      361    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      192    0.000    0.000    0.000    0.000 transforms.py:971(get_points)
        3    0.000    0.000    0.003    0.001 patches.py:1871(<listcomp>)
       19    0.000    0.000    0.000    0.000 deprecation.py:372(<listcomp>)
        1    0.000    0.000    0.011    0.011 patches.py:1(<module>)
       21    0.000    0.000    0.000    0.000 deprecation.py:178(finalize)
        2    0.000    0.000    0.004    0.002 _axes.py:4312(scatter)
       31    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.generic' objects}
        1    0.000    0.000    0.001    0.001 figure.py:250(__init__)
       17    0.000    0.000    0.001    0.000 markers.py:753(_set_tickdown)
       28    0.000    0.000    0.000    0.000 axis.py:467(update_position)
        4    0.000    0.000    0.000    0.000 ticker.py:823(_set_order_of_magnitude)
        1    0.000    0.000    0.000    0.000 colors.py:97(<dictcomp>)
     24/4    0.000    0.000    0.001    0.000 pyparsing.py:4031(streamline)
       33    0.000    0.000    0.002    0.000 text.py:1190(set_fontproperties)
        1    0.000    0.000    0.003    0.003 backend_tools.py:1(<module>)
       39    0.000    0.000    0.000    0.000 lines.py:1346(set_dash_capstyle)
      267    0.000    0.000    0.000    0.000 common.py:183(classes_and_not_datetimelike)
        3    0.000    0.000    0.000    0.000 timedeltas.py:1(<module>)
      235    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.004    0.004 colors.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pytables.py:450(HDFStore)
       46    0.000    0.000    0.000    0.000 pathlib.py:697(_format_parsed_parts)
       92    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1088(__init__)
       98    0.000    0.000    0.000    0.000 pyplot.py:715(_auto_draw_if_interactive)
       59    0.000    0.000    0.000    0.000 __init__.py:21(__new__)
      107    0.000    0.000    0.000    0.000 transforms.py:1706(__array__)
        4    0.000    0.000    0.003    0.001 collections.py:232(get_datalim)
       39    0.000    0.000    0.001    0.000 lines.py:1190(set_markerfacecolor)
        3    0.000    0.000    0.000    0.000 six.py:866(wrapper)
       98    0.000    0.000    0.000    0.000 figure.py:42(_stale_figure_callback)
        1    0.000    0.000    0.061    0.061 client.py:1(<module>)
      116    0.000    0.000    0.000    0.000 textwrap.py:477(prefixed_lines)
        2    0.000    0.000    0.001    0.001 managers.py:1715(form_blocks)
      101    0.000    0.000    0.000    0.000 __init__.py:2236(type_name)
       32    0.000    0.000    0.000    0.000 linalg.py:206(_assert_finite)
       14    0.000    0.000    0.001    0.000 __init__.py:2089(_warn_external)
        1    0.000    0.000    0.002    0.002 stata.py:1(<module>)
        1    0.000    0.000    0.008    0.008 random.py:1(<module>)
       33    0.000    0.000    0.000    0.000 warnings.py:477(__exit__)
       28    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
       59    0.000    0.000    0.000    0.000 strings.py:1990(_forbid_nonstring_types)
        1    0.000    0.000    0.001    0.001 request.py:2490(getproxies_environment)
       52    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
        1    0.000    0.000    0.000    0.000 hmac.py:1(<module>)
       24    0.000    0.000    0.000    0.000 dviread.py:167(decorate)
      104    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
      422    0.000    0.000    0.000    0.000 blocks.py:233(mgr_locs)
      254    0.000    0.000    0.000    0.000 pyparsing.py:3882(<genexpr>)
       30    0.000    0.000    0.002    0.000 __init__.py:652(__init__)
        1    0.000    0.000    0.000    0.000 graph.py:884(add_edges_from)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
       56    0.000    0.000    0.003    0.000 config.py:730(inner)
        1    0.000    0.000    0.002    0.002 config.py:1(<module>)
        1    0.000    0.000    0.001    0.001 merge.py:1(<module>)
       11    0.000    0.000    0.092    0.008 artist.py:1613(kwdoc)
      145    0.000    0.000    0.001    0.000 typing.py:830(<genexpr>)
       77    0.000    0.000    0.000    0.000 base.py:4976(_maybe_cast_indexer)
        1    0.000    0.000    0.002    0.002 figure.py:220(Figure)
       27    0.000    0.000    0.000    0.000 artist.py:20(allow_rasterization)
        2    0.000    0.000    0.026    0.013 connectivity.py:1(<module>)
        1    0.000    0.000    0.000    0.000 config.py:227(CallableDynamicDoc)
      212    0.000    0.000    0.000    0.000 transforms.py:1256(<genexpr>)
        1    0.000    0.000    0.014    0.014 pathlib.py:1(<module>)
       24    0.000    0.000    0.001    0.000 linecache.py:53(checkcache)
       52    0.000    0.000    0.000    0.000 _collections_abc.py:742(__iter__)
        1    0.000    0.000    0.016    0.016 backend_bases.py:1(<module>)
        1    0.000    0.000    0.002    0.002 integer.py:1(<module>)
       90    0.000    0.000    0.000    0.000 __init__.py:804(clean)
     23/7    0.000    0.000    0.001    0.000 pyparsing.py:4485(streamline)
        1    0.000    0.000    0.000    0.000 quoprimime.py:5(<module>)
       30    0.000    0.000    0.001    0.000 getlimits.py:41(<lambda>)
       13    0.000    0.000    0.000    0.000 __init__.py:168(connect)
       27    0.000    0.000    0.000    0.000 enum.py:58(__init__)
      139    0.000    0.000    0.000    0.000 pyparsing.py:2587(__eq__)
       64    0.000    0.000    0.000    0.000 fromnumeric.py:1705(ravel)
       32    0.000    0.000    0.000    0.000 {built-in method numpy.frompyfunc}
        1    0.000    0.000    0.015    0.015 geometric.py:1(<module>)
        1    0.000    0.000    0.018    0.018 axes3d.py:1(<module>)
        4    0.000    0.000    0.001    0.000 collections.py:73(__init__)
        1    0.000    0.000    0.028    0.028 shutil.py:1(<module>)
       88    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(atleast_1d)
        1    0.000    0.000    0.005    0.005 cast.py:1(<module>)
       12    0.000    0.000    0.030    0.002 artist.py:1242(__init__)
        1    0.000    0.000    0.008    0.008 type_check.py:1(<module>)
        1    0.000    0.000    0.004    0.004 blocks.py:1(<module>)
      632    0.000    0.000    0.000    0.000 graph.py:1443(is_directed)
       66    0.000    0.000    0.000    0.000 deprecation.py:456(_deprecate_method_override)
        1    0.000    0.000    0.319    0.319 colorbar.py:1(<module>)
       44    0.000    0.000    0.000    0.000 pathlib.py:687(_from_parsed_parts)
       16    0.000    0.000    0.000    0.000 ticker.py:518(__init__)
        1    0.000    0.000    0.019    0.019 _base.py:1038(cla)
        1    0.000    0.000    0.031    0.031 image.py:1(<module>)
        1    0.000    0.000    0.001    0.001 interval.py:152(IntervalIndex)
        1    0.000    0.000    0.000    0.000 managers.py:1523(SingleBlockManager)
        1    0.000    0.000    0.006    0.006 strings.py:1(<module>)
     12/1    0.000    0.000    0.087    0.087 artist.py:33(draw_wrapper)
        2    0.000    0.000    0.000    0.000 textwrap.py:233(_wrap_chunks)
       90    0.000    0.000    0.000    0.000 types.py:171(__get__)
        1    0.000    0.000    0.007    0.007 __init__.py:231(_sanity_check)
       77    0.000    0.000    0.000    0.000 base.py:4623(_get_values_for_loc)
        1    0.000    0.000    0.003    0.003 signal.py:1(<module>)
        2    0.000    0.000    0.000    0.000 decoder.py:284(__init__)
        6    0.000    0.000    0.000    0.000 base.py:1183(_add_comparison_ops)
       84    0.000    0.000    0.000    0.000 font_manager.py:819(set_family)
       16    0.000    0.000    0.000    0.000 ticker.py:2161(_staircase)
       63    0.000    0.000    0.000    0.000 text.py:944(set_horizontalalignment)
    80/53    0.000    0.000    0.000    0.000 transforms.py:2305(_invalidate_internal)
       32    0.000    0.000    0.002    0.000 function_base.py:2080(__call__)
        2    0.000    0.000    0.000    0.000 contextlib.py:429(callback)
        2    0.000    0.000    0.001    0.000 managers.py:865(_interleave)
      151    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_bool}
      200    0.000    0.000    0.001    0.000 inference.py:185(is_array_like)
       16    0.000    0.000    0.000    0.000 axis.py:1636(set_major_locator)
        1    0.000    0.000    0.004    0.004 subprocess.py:980(communicate)
       27    0.000    0.000    0.000    0.000 enum.py:151(<dictcomp>)
        1    0.000    0.000    0.001    0.001 ticker.py:1(<module>)
        1    0.000    0.000    0.001    0.001 multi.py:1(<module>)
       19    0.000    0.000    0.000    0.000 version.py:307(parse)
       34    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
        2    0.000    0.000    1.040    0.520 request.py:1309(do_open)
       32    0.000    0.000    0.001    0.000 __init__.py:2006(getLogger)
       12    0.000    0.000    0.001    0.000 nanops.py:53(__init__)
       10    0.000    0.000    0.000    0.000 _base.py:724(get_xaxis_text1_transform)
      168    0.000    0.000    0.000    0.000 font_manager.py:1016(_normalize_font_family)
      216    0.000    0.000    0.000    0.000 __init__.py:385(<genexpr>)
      542    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.001    0.001 range.py:1(<module>)
        1    0.000    0.000    0.001    0.001 datetimelike.py:442(DatetimeLikeArrayMixin)
       71    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
        1    0.000    0.000    0.007    0.007 mathtext.py:2275(Parser)
       26    0.000    0.000    0.000    0.000 pathlib.py:835(stem)
      252    0.000    0.000    0.000    0.000 rcsetup.py:58(func)
       10    0.000    0.000    0.000    0.000 accessor.py:63(_add_delegate_accessors)
        2    0.000    0.000    0.001    0.000 numba_.py:1(<module>)
       17    0.000    0.000    0.001    0.000 markers.py:747(_set_tickup)
        1    0.000    0.000    0.008    0.008 opcode.py:2(<module>)
       22    0.000    0.000    0.000    0.000 _ufunc_config.py:32(seterr)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:1(<module>)
        2    0.000    0.000    0.000    0.000 socket.py:301(makefile)
      106    0.000    0.000    0.000    0.000 __init__.py:1207(is_interactive)
       24    0.000    0.000    0.001    0.000 pathlib.py:1035(__new__)
        1    0.000    0.000    0.016    0.016 PngImagePlugin.py:34(<module>)
       97    0.000    0.000    0.000    0.000 path.py:694(unit_rectangle)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x7f8e6fe981f0}
       72    0.000    0.000    0.000    0.000 pyparsing.py:1780(set)
       20    0.000    0.000    0.000    0.000 bezier.py:196(<listcomp>)
        4    0.000    0.000    0.000    0.000 ticker.py:784(_compute_offset)
       18    0.000    0.000    0.000    0.000 ticker.py:639(__call__)
        1    0.000    0.000    0.014    0.014 lines.py:1(<module>)
        1    0.000    0.000    0.147    0.147 text.py:1(<module>)
       50    0.000    0.000    0.000    0.000 _internal.py:781(_ufunc_doc_signature_formatter)
       16    0.000    0.000    0.000    0.000 cycler.py:55(_process_keys)
       59    0.000    0.000    0.000    0.000 strings.py:1942(forbid_nonstring_types)
        1    0.000    0.000    0.000    0.000 ast.py:1(<module>)
      326    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
        3    0.000    0.000    0.000    0.000 _decorators.py:306(decorate)
       21    0.000    0.000    0.000    0.000 transforms.py:1019(__init__)
        4    0.000    0.000    0.000    0.000 ticker.py:2030(scale_range)
        1    0.000    0.000    0.006    0.006 random_graphs.py:1(<module>)
       32    0.000    0.000    0.000    0.000 function_base.py:4616(append)
        1    0.000    0.000    0.007    0.007 maxflow.py:1(<module>)
       56    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
       27    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
       86    0.000    0.000    0.000    0.000 pyparsing.py:4091(<genexpr>)
        4    0.000    0.000    0.000    0.000 axis.py:2244(get_tick_space)
        1    0.000    0.000    0.179    0.179 figure.py:1(<module>)
        9    0.000    0.000    0.000    0.000 deprecation.py:435(<listcomp>)
       87    0.000    0.000    0.000    0.000 lines.py:1244(set_ydata)
      138    0.000    0.000    0.000    0.000 pyparsing.py:2450(setWhitespaceChars)
       20    0.000    0.000    0.000    0.000 colors.py:929(reversed)
       12    0.000    0.000    0.002    0.000 axis.py:770(cla)
      216    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
        1    0.000    0.000    0.001    0.001 pivot.py:1(<module>)
      217    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
       34    0.000    0.000    0.000    0.000 array_ops.py:362(get_array_op)
        1    0.000    0.000    0.004    0.004 graph.py:1(<module>)
       51    0.000    0.000    0.000    0.000 lines.py:33(_get_dash_pattern)
        6    0.000    0.000    0.001    0.000 patches.py:41(__init__)
      212    0.000    0.000    0.000    0.000 transforms.py:1262(<genexpr>)
        1    0.000    0.000    0.010    0.010 dag.py:1(<module>)
        1    0.000    0.000    0.001    0.001 align.py:1(<module>)
       18    0.000    0.000    0.000    0.000 message.py:462(get)
       16    0.000    0.000    0.000    0.000 pyparsing.py:3197(parseImpl)
  123/109    0.000    0.000    0.000    0.000 _base.py:776(get_yaxis_transform)
