Number of edges in matching: 18
{('v_bv', 'b_bv'), ('o_tt', 'rh_end_tt_2'), ('g_gy1', 'rc_end_north'), ('b_end_east', 'g_gy2'), ('v_end_east', 'rs_end_north'), ('rh_end_tt_1', 'b_bw'), ('rd_end_south', 'b_end_west'), ('rd_end_north', 'rh_end_north'), ('o_y_tt_end_west', 'nature_end_west'), ('y_rh', 'rh_end_south'), ('y_gy1', 'rc_end_south'), ('b_tt_3', 'rt_end_north'), ('b_v', 'v_end_west'), ('y_rt', 'rt_end_south'), ('w_bw', 'g_w'), ('rs_end_south', 'y_gy2'), ('o_rt', 'o_w_1'), ('rh_end_tt_4', 'rh_end_tt_3')}
         1637436 function calls (1618545 primitive calls) in 26.982 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    35305    0.006    0.000    0.006    0.000 {built-in method _heapq.heappush}
    35516    0.006    0.000    0.006    0.000 coreviews.py:50(__getitem__)
     3450    0.006    0.000    0.069    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
 1058/209    0.006    0.000    0.015    0.000 sre_compile.py:71(_compile)
    858/7    0.006    0.000    3.304    0.472 <frozen importlib._bootstrap>:650(_load_unlocked)
     1865    0.006    0.000    0.006    0.000 <frozen importlib._bootstrap>:103(release)
  881/880    0.006    0.000    0.169    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
2440/1804    0.006    0.000    0.022    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       82    0.006    0.000    5.898    0.072 __init__.py:1(<module>)
     7645    0.006    0.000    0.006    0.000 {method 'split' of 'str' objects}
     1712    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
      374    0.005    0.000    0.065    0.000 decorator.py:258(decorator)
    31715    0.005    0.000    0.005    0.000 {method 'lstrip' of 'str' objects}
     4046    0.005    0.000    0.009    0.000 typing.py:762(__setattr__)
     1137    0.005    0.000    0.008    0.000 inspect.py:2760(__init__)
     7936    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      375    0.005    0.000    0.028    0.000 inspect.py:1090(getfullargspec)
    40587    0.005    0.000    0.010    0.000 {built-in method builtins.next}
      442    0.005    0.000    0.051    0.000 textwrap.py:414(dedent)
      760    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
    12520    0.005    0.000    0.005    0.000 {built-in method builtins.hasattr}
        2    0.005    0.002    0.005    0.002 socket.py:732(close)
      627    0.005    0.000    0.005    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.004    0.004    0.005    0.005 backend_agg.py:90(__init__)
    10699    0.004    0.000    0.006    0.000 {built-in method builtins.setattr}
     1401    0.004    0.000    0.005    0.000 transforms.py:185(set_children)
     3753    0.004    0.000    0.011    0.000 enum.py:283(__call__)
      852    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
    26997    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
